MovieCode,Period,Crores,actor,STATUS
BDCQ.SED3RBA,2021.03,727928,,F
BDCQ.SED3RBA,2021.06,741774,,F
BDCQ.SED3RBA,2021.09,756812,,F
BDCQ.SED3RBA,2021.12,772187,,F
BDCQ.SED3RBA,2022.03,769623,,F
BDCQ.SED3RCA,2011.06,148174,,F
BDCQ.SED3RCA,2011.09,148439,,F
BDCQ.SED3RCA,2011.12,153026,,F
BDCQ.SED3RCA,2012.03,149835,,F
BDCQ.SED3RCA,2012.06,151662,,F
BDCQ.SED3RCA,2012.09,150547,,F
BDCQ.SED3RCA,2012.12,153943,,F
BDCQ.SED3RCA,2013.03,151066,,F
BDCQ.SED3RCA,2013.06,151494,,F
BDCQ.SED3RCA,2013.09,153913,,F
BDCQ.SED3RCA,2013.12,158159,,F
BDCQ.SED3RCA,2014.03,156210,,F
BDCQ.SED3RCA,2014.06,157282,,F
BDCQ.SED3RCA,2014.09,157607,,F
BDCQ.SED3RCA,2014.12,162292,,F
BDCQ.SED3RCA,2015.03,159849,,F
BDCQ.SED3RCA,2015.06,159515,,F
BDCQ.SED3RCA,2015.09,159822,,F
BDCQ.SED3RCA,2015.12,163855,,F
BDCQ.SED3RCA,2016.03,161802,,F
BDCQ.SED3RCA,2016.06,162626,,F
BDCQ.SED3RCA,2016.09,163102,,F
BDCQ.SED3RCA,2016.12,168683,,F
BDCQ.SED3RCA,2017.03,166967,,F
BDCQ.SED3RCA,2017.06,168644,,F
BDCQ.SED3RCA,2017.09,169115,,F
BDCQ.SED3RCA,2017.12,174289,,F
BDCQ.SED3RCA,2018.03,173727,,F
BDCQ.SED3RCA,2018.06,174296,,F
BDCQ.SED3RCA,2018.09,173509,,F
BDCQ.SED3RCA,2018.12,178927,,F
BDCQ.SED3RCA,2019.03,178259,,F
BDCQ.SED3RCA,2019.06,179488,,F
BDCQ.SED3RCA,2019.09,179249,,F
BDCQ.SED3RCA,2019.12,186197,,F
BDCQ.SED3RCA,2020.03,185547,,F
BDCQ.SED3RCA,2020.06,184206,,F
BDCQ.SED3RCA,2020.09,184351,,F
BDCQ.SED3RCA,2020.12,188459,,F
BDCQ.SED3RCA,2021.03,188940,,F
BDCQ.SED3RCA,2021.06,190809,,F
BDCQ.SED3RCA,2021.09,190488,,F
BDCQ.SED3RCA,2021.12,196862,,F
BDCQ.SED3RCA,2022.03,193663,,F
BDCQ.SED3RDA,2011.06,104956,,F
BDCQ.SED3RDA,2011.09,100908,,F
BDCQ.SED3RDA,2011.12,100402,,F
BDCQ.SED3RDA,2012.03,98350,,F
BDCQ.SED3RDA,2012.06,103355,,F
BDCQ.SED3RDA,2012.09,98290,,F
BDCQ.SED3RDA,2012.12,98327,,F
BDCQ.SED3RDA,2013.03,96480,,F
BDCQ.SED3RDA,2013.06,102188,,F
BDCQ.SED3RDA,2013.09,99813,,F
BDCQ.SED3RDA,2013.12,102209,,F
BDCQ.SED3RDA,2014.03,101108,,F
BDCQ.SED3RDA,2014.06,106004,,F
BDCQ.SED3RDA,2014.09,103207,,F
BDCQ.SED3RDA,2014.12,105622,,F
BDCQ.SED3RDA,2015.03,104559,,F
BDCQ.SED3RDA,2015.06,111095,,F
BDCQ.SED3RDA,2015.09,106401,,F
BDCQ.SED3RDA,2015.12,109850,,F
BDCQ.SED3RDA,2016.03,109281,,F
BDCQ.SED3RDA,2016.06,117201,,F
BDCQ.SED3RDA,2016.09,111625,,F
BDCQ.SED3RDA,2016.12,113965,,F
BDCQ.SED3RDA,2017.03,113340,,F
BDCQ.SED3RDA,2017.06,121389,,F
BDCQ.SED3RDA,2017.09,115736,,F
BDCQ.SED3RDA,2017.12,118554,,F
BDCQ.SED3RDA,2018.03,117539,,F
BDCQ.SED3RDA,2018.06,125478,,F
BDCQ.SED3RDA,2018.09,118145,,F
BDCQ.SED3RDA,2018.12,123313,,F
BDCQ.SED3RDA,2019.03,122967,,F
BDCQ.SED3RDA,2019.06,129185,,F
BDCQ.SED3RDA,2019.09,122580,,F
BDCQ.SED3RDA,2019.12,127485,,F
BDCQ.SED3RDA,2020.03,126383,,F
BDCQ.SED3RDA,2020.06,129504,,F
BDCQ.SED3RDA,2020.09,124288,,F
BDCQ.SED3RDA,2020.12,126408,,F
BDCQ.SED3RDA,2021.03,127034,,F
BDCQ.SED3RDA,2021.06,133300,,F
BDCQ.SED3RDA,2021.09,127550,,F
BDCQ.SED3RDA,2021.12,131305,,F
BDCQ.SED3RDA,2022.03,129454,,F
BDCQ.SED3REA,2011.06,16559,,F
BDCQ.SED3REA,2011.09,16554,,F
BDCQ.SED3REA,2011.12,17130,,F
BDCQ.SED3REA,2012.03,17319,,F
BDCQ.SED3REA,2012.06,16904,,F
BDCQ.SED3REA,2012.09,16473,,F
BDCQ.SED3REA,2012.12,16846,,F
BDCQ.SED3REA,2013.03,17021,,F
